Rk,Player,Team,Yds,TD,QBR
1,Drew Brees,NOR,4952,33,74.8
2,Matt Ryan,ATL,4694,28,68.4
3,Andrew Luck ,IND,4761,40,62.6
4,Ben Roethlisberger,PIT,4952,32,68.7
5,Matthew Stafford,DET,4257,22,47.3
6,Eli Manning,NYG,4410,30,62.5
7,Derek Carr,OAK,3270,21,40.1
8,Peyton Manning ,DEN,4727,39,72
9,Ryan Tannehill,MIA,4045,27,59.3
10,Tom Brady ,NWE,4109,33,76.2
11,Philip Rivers,SDG,4286,31,63.6
12,Jay Cutler,CHI,3812,28,51.8
13,Joe Flacco,BAL,3986,27,68.2
14,Aaron Rodgers ,GNB,4381,38,78.3
15,Andy Dalton,CIN,3398,19,48.5
16,Colin Kaepernick,SFO,3369,19,60.9
17,Blake Bortles,JAX,2908,11,26.7
18,Alex Smith,KAN,3265,18,51.7
19,Russell Wilson,SEA,3475,20,71.5
20,Cam Newton,CAR,3127,18,57.3
21,Kyle Orton,BUF,3018,18,43.9
22,Brian Hoyer,CLE,3326,12,38.4
23,Tony Romo ,DAL,3705,34,79.7
24,Teddy Bridgewater,MIN,2919,14,54.4
25,Geno Smith,NYJ,2525,13,45.9
26,Josh McCown,TAM,2206,11,38
27,Ryan Fitzpatrick,HOU,2483,17,61.1
28,Nick Foles,PHI,2163,13,64.1
29,Mark Sanchez,PHI,2418,14,57.5
30,Austin Davis,STL,2001,12,44.2
31,Drew Stanton,ARI,1711,7,51.7
32,Shaun Hill,STL,1657,8,45.2
33,Carson Palmer,ARI,1626,11,63.7
34,Robert Griffin III,WAS,1694,4,28.3
35,Kirk Cousins,WAS,1710,10,52
36,Mike Glennon,TAM,1417,10,51.5
37,Charlie Whitehurst,TEN,1326,7,41.7
38,Zach Mettenberger,TEN,1412,8,30.8
39,Jake Locker,TEN,993,5,43.8
40,EJ Manuel,BUF,838,5,24.6
41,Colt McCoy,WAS,1057,4,36.4
42,Michael Vick,NYJ,604,3,21.4
43,Derek Anderson,CAR,701,5,76.6
44,Ryan Lindley,2TM,562,2,
45,Chad Henne,JAX,492,3,26.2
46,Case Keenum,2TM,435,2,
47,Ryan Mallett,HOU,400,2,47.3
48,Matt Cassel,MIN,425,3,47.4
49,Jimmy Clausen,CHI,223,2,44.1
50,Matt Hasselbeck,IND,301,2,57.9
